Year;År;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Dead/Alive;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Total täckningsgrad per ruta;Kommentar (kornstorlek mm)
1;2017;Avesta;20170704;Ytskrapning;5;1;Tall;;;1;0;0;0;;2;
1;2017;Avesta;20170704;Ytskrapning;5;1;Asp;;;1;0;0;0;;2;
1;2017;Avesta;20170704;Ytskrapning;6;15;Sälg;;;0;1;0;0;;30;
1;2017;Avesta;20170704;Ytskrapning;6;15;Vårtbjörk;;;1;2;0;0;;30;
1;2017;Jularbo;20170705;Ytskrapning;1;2;Asp;;;1;1;0;0;;8;
1;2017;Jularbo;20170705;Ytskrapning;1;2;Vårtbjörk;;;7;0;0;0;;8;
1;2017;Jularbo;20170705;Ytskrapning;1;2;Gråal;;;1;0;0;0;;8;
1;2017;Jularbo;20170705;Ytskrapning;1;2;Gråvide;;;0;1;0;0;;8;
1;2017;Jularbo;20170705;Ytskrapning;2;1;Vårtbjörk;;;4;0;0;0;;2;
1;2017;Jularbo;20170705;Ytskrapning;2;1;Asp;;;1;0;0;0;;2;
1;2017;Jularbo;20170705;Ytskrapning;3;1;Vårtbjörk;;;2;0;0;0;;2;
1;2017;Jularbo;20170705;Ytskrapning;3;1;Gråal;;;2;0;0;0;;2;
1;2017;Jularbo;20170705;Ytskrapning;4;40;Gråal;;;40;9;4;1;;120;
1;2017;Jularbo;20170705;Ytskrapning;4;40;Vårtbjörk;;;15;0;0;0;;120;
1;2017;Jularbo;20170705;Ytskrapning;4;40;Tall;;;0;1;0;0;;120;
1;2017;Jularbo;20170705;Ytskrapning;5;10;Gråal;;;1;0;0;0;;40;
1;2017;Jularbo;20170705;Ytskrapning;5;10;Vårtbjörk;;;5;3;0;0;;40;
1;2017;Jularbo;20170705;Ytskrapning;5;10;Asp;;;1;0;0;0;;40;
1;2017;Jularbo;20170705;Ytskrapning;5;10;Tall;;;1;0;0;0;;40;
1;2017;Jularbo;20170705;Ytskrapning;6;5;Vårtbjörk;;;1;4;0;0;;5;
1;2017;Byvalla;20170707;Ytskrapning;1;0;;;;0;0;0;0;;4;
1;2017;Byvalla;20170707;Ytskrapning;2;3;Tall;;;0;1;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;3;5;Tall;;;0;1;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;3;5;Asp;;;0;1;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;4;10;Glasbjörk;;;5;18;0;0;;38;
1;2017;Byvalla;20170707;Ytskrapning;4;10;Tall;;;0;2;0;0;;38;
1;2017;Byvalla;20170707;Ytskrapning;4;10;Gran;;;0;1;0;0;;38;
1;2017;Byvalla;20170707;Ytskrapning;5;10;Gråal;;;0;1;0;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;5;10;Vårtbjörk;;;9;1;0;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;5;10;Glasbjörk;;;2;0;0;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;5;10;Tall;;;1;1;0;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;6;5;Tall;;;2;2;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;6;5;Asp;;;0;1;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;1;2;Vårtbjörk;;;2;1;0;0;;4;
1;2017;Byvalla;20170707;Ytskrapning;1;2;Tall;;;0;1;0;0;;4;
1;2017;Byvalla;20170707;Ytskrapning;2;4;Glasbjörk;;;2;8;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;2;4;Asp;;;0;1;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;3;1;Glasbjörk;;;1;0;0;0;;11;
1;2017;Byvalla;20170707;Ytskrapning;4;4;Sälg;;;0;1;0;0;;38;
1;2017;Byvalla;20170707;Ytskrapning;4;4;Hallon;;;0;3;0;0;;38;
1;2017;Byvalla;20170707;Ytskrapning;5;5;Tall;;;0;0;1;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;5;5;Glasbjörk;;;2;9;0;0;;50;
1;2017;Byvalla;20170707;Ytskrapning;6;1;Tall;;;0;1;0;0;;11;
1;2017;Gustafs;20170710;Ytskrapning;1;20;Tall;;;0;2;4;0;;60;
1;2017;Gustafs;20170710;Ytskrapning;1;20;Vårtbjörk;;;0;1;4;0;;60;
1;2017;Gustafs;20170710;Ytskrapning;2;7;Tall;;;0;3;0;0;;174;
1;2017;Gustafs;20170710;Ytskrapning;2;7;Vårtbjörk;;;0;1;1;0;;174;
1;2017;Gustafs;20170710;Ytskrapning;3;5;Tall;;;1;0;0;0;;40;
1;2017;Gustafs;20170710;Ytskrapning;3;5;Vårtbjörk;;;0;1;0;0;;40;
1;2017;Gustafs;20170710;Ytskrapning;4;2;Vårtbjörk;;;0;1;0;0;;42;
1;2017;Gustafs;20170710;Ytskrapning;5;2;Vårtbjörk;;;0;1;0;0;;204;
1;2017;Gustafs;20170710;Ytskrapning;5;2;Tall;;;0;1;0;0;;204;
1;2017;Gustafs;20170710;Ytskrapning;6;8;Tall;;;1;3;0;0;;31;
1;2017;Gustafs;20170710;Ytskrapning;6;8;Vårtbjörk;;;0;2;0;0;;31;
1;2017;Gustafs;20170710;Ytskrapning;1;10;Vårtbjörk;;;3;0;2;0;;60;
1;2017;Gustafs;20170710;Ytskrapning;1;10;Tall;;;0;0;1;0;;60;
1;2017;Gustafs;20170710;Ytskrapning;2;80;Vårtbjörk;;;3;16;4;0;;174;
1;2017;Gustafs;20170710;Ytskrapning;2;80;Tall;;;0;1;0;0;;174;
1;2017;Gustafs;20170710;Ytskrapning;3;15;Vårtbjörk;;;0;2;1;0;;40;
1;2017;Gustafs;20170710;Ytskrapning;3;15;Tall;;;4;0;0;0;;40;
1;2017;Gustafs;20170710;Ytskrapning;4;20;Vårtbjörk;;;0;10;0;0;;42;
1;2017;Gustafs;20170710;Ytskrapning;4;20;Tall;;;1;0;0;0;;42;
1;2017;Gustafs;20170710;Ytskrapning;5;100;Vårtbjörk;;;0;4;26;0;;204;
1;2017;Gustafs;20170710;Ytskrapning;5;100;Tall;;;0;2;0;0;;204;
1;2017;Gustafs;20170710;Ytskrapning;6;15;Vårtbjörk;;;0;7;0;0;;31;
1;2017;Avesta;20170704;Rotryckning;1;15;Vårtbjörk;;;0;8;0;0;;15;
1;2017;Avesta;20170704;Rotryckning;2;5;Vårtbjörk;;;0;7;0;0;;5;
1;2017;Avesta;20170704;Rotryckning;3;10;Vårtbjörk;;;0;8;0;0;;10;
1;2017;Avesta;20170704;Rotryckning;4;20;Vårtbjörk;;;0;2;1;1;;20;
1;2017;Avesta;20170704;Rotryckning;5;15;Vårtbjörk;;;0;4;2;1;;15;
1;2017;Avesta;20170704;Rotryckning;6;10;Vårtbjörk;;;0;3;0;0;;10;
1;2017;Jularbo;20170704;Rotryckning;1;20;Asp;;;0;0;2;0;;40;
1;2017;Jularbo;20170704;Rotryckning;1;20;Vårtbjörk;;;0;0;2;0;;40;
1;2017;Jularbo;20170704;Rotryckning;2;5;Glasbjörk;;;0;2;0;0;;5;
1;2017;Jularbo;20170704;Rotryckning;3;30;Glasbjörk;;;0;10;0;0;;60;
1;2017;Jularbo;20170704;Rotryckning;3;30;Vårtbjörk;;;0;2;0;0;;60;
1;2017;Jularbo;20170704;Rotryckning;4;2;Asp;;;0;4;0;0;;4;
1;2017;Jularbo;20170704;Rotryckning;4;2;Vårtbjörk;;;0;4;0;0;;4;
1;2017;Jularbo;20170704;Rotryckning;5;25;Vårtbjörk;;;0;4;1;0;;50;
1;2017;Jularbo;20170704;Rotryckning;5;25;Glasbjörk;;;0;2;0;0;;50;
1;2017;Jularbo;20170704;Rotryckning;6;2;Glasbjörk;;;4;0;0;0;;2;
1;2017;Byvalla;20170706;Rotryckning;1;7;Vårtbjörk;;;0;15;0;0;;17;
1;2017;Byvalla;20170706;Rotryckning;2;5;Vårtbjörk;;;0;7;0;0;;50;
1;2017;Byvalla;20170706;Rotryckning;3;50;Glasbjörk;;;0;8;0;0;;220;
1;2017;Byvalla;20170706;Rotryckning;3;50;Vårtbjörk;;;0;18;0;0;;220;
1;2017;Byvalla;20170706;Rotryckning;4;40;Vårtbjörk;;;0;20;0;0;;180;
1;2017;Byvalla;20170706;Rotryckning;4;40;Glasbjörk;;;0;9;0;0;;180;
1;2017;Byvalla;20170706;Rotryckning;4;40;Asp;;;0;2;0;0;;180;
1;2017;Byvalla;20170706;Rotryckning;5;50;Sälg;;;0;20;0;0;;165;
1;2017;Byvalla;20170706;Rotryckning;5;50;Vårtbjörk;;;0;32;0;0;;165;
1;2017;Byvalla;20170706;Rotryckning;5;50;Asp;;;0;1;0;0;;165;
1;2017;Byvalla;20170706;Rotryckning;6;20;Glasbjörk;;;0;5;0;0;;45;
1;2017;Byvalla;20170706;Rotryckning;6;20;Asp;;;0;3;0;0;;45;
1;2017;Byvalla;20170706;Rotryckning;1;10;Asp;;;0;0;3;0;;17;
1;2017;Byvalla;20170706;Rotryckning;2;15;Asp;;;0;1;2;0;;50;
1;2017;Byvalla;20170706;Rotryckning;2;15;Glasbjörk;;;0;1;0;0;;50;
1;2017;Byvalla;20170706;Rotryckning;2;15;Vårtbjörk;;;0;3;0;0;;50;
1;2017;Byvalla;20170706;Rotryckning;3;60;Vårtbjörk;;;0;2;1;0;;220;
1;2017;Byvalla;20170706;Rotryckning;3;60;Sälg;;;0;4;1;0;;220;
1;2017;Byvalla;20170706;Rotryckning;4;30;Glasbjörk;;;0;0;1;0;;180;
1;2017;Byvalla;20170706;Rotryckning;4;30;Asp;;;0;5;0;0;;180;
1;2017;Byvalla;20170706;Rotryckning;5;15;Glasbjörk;;;0;0;1;0;;165;
1;2017;Byvalla;20170706;Rotryckning;6;5;Sälg;;;0;2;0;0;;45;
1;2017;Gustafs;20170710;Rotryckning;1;10;Tall;;;0;0;4;0;;40;
1;2017;Gustafs;20170710;Rotryckning;2;10;Tall;;;0;0;1;0;;60;
1;2017;Gustafs;20170710;Rotryckning;2;10;Vårtbjörk;;;0;0;0;0;;60;
1;2017;Gustafs;20170710;Rotryckning;3;2;Vårtbjörk;;;0;1;0;0;;42;
1;2017;Gustafs;20170710;Rotryckning;4;0;;;;0;0;0;0;;10;
1;2017;Gustafs;20170710;Rotryckning;5;0;;;;0;0;0;0;;200;
1;2017;Gustafs;20170710;Rotryckning;6;3;Nyponros;;;0;2;0;0;;3;
1;2017;Gustafs;20170710;Rotryckning;1;15;Tall;;;0;2;0;0;;40;
1;2017;Gustafs;20170710;Rotryckning;1;15;Vårtbjörk;;;0;0;2;0;;40;
1;2017;Gustafs;20170710;Rotryckning;2;20;Tall;;;0;0;1;1;;60;
1;2017;Gustafs;20170710;Rotryckning;2;20;Vårtbjörk;;;0;0;1;0;;60;
1;2017;Gustafs;20170710;Rotryckning;3;20;Tall;;;0;0;0;1;;42;
1;2017;Gustafs;20170710;Rotryckning;3;20;Vårtbjörk;;;0;0;3;0;;42;
1;2017;Gustafs;20170710;Rotryckning;4;10;Tall;;;0;0;1;1;;10;
1;2017;Gustafs;20170710;Rotryckning;5;100;Tall;;;0;0;1;1;;200;
1;2017;Gustafs;20170710;Rotryckning;5;100;Vårtbjörk;;;0;0;3;0;;200;
1;2017;Gustafs;20170711;Rotryckning;6;0;;;;0;0;0;0;;3;
0;2016;Dagarn;20160815;rotryckning/slåtter;1;6;Björk sp.;S/L;;0;13;0;0;30;6;8 st i samma stubbe. Blomsterlupin strax utanför ytan
0;2016;Dagarn;20160815;rotryckning/slåtter;2;1;Glasbjörk;S;D;0;4;0;0;30;2;
0;2016;Dagarn;20160815;rotryckning/slåtter;2;1;Vårtbjörk;S;D;0;1;0;0;30;2;
0;2016;Dagarn;20160815;rotryckning/slåtter;3;1;Gran;S;D;0;1;0;0;0;1;Rutan nära levande stubbe av björk
0;2016;Dagarn;20160815;rotryckning/slåtter;4;5;Salix sp.;S/L;A;0;23;0;0;5;5;Varav 13 st i stubbe. Sand inblandat i jorden
0;2016;Dagarn;20160815;rotryckning/slåtter;5;7;Hallon;S;D;7;14;0;0;0;23;
0;2016;Dagarn;20160815;rotryckning/slåtter;5;1;Asp;S;D;1;1;0;0;0;23;
0;2016;Dagarn;20160815;rotryckning/slåtter;5;15;Glasbjörk;S/L;A;3;28;0;0;0;23;24 i stubbe
0;2016;Dagarn;20160815;rotryckning/slåtter;6;45;Glasbjörk;L;A;0;48;0;0;5;45;3 stubbar á 22, 12 och 12 stammar
0;2016;Dala-Järna;20160818;rotryckning/slåtter;1;0;;;;0;0;0;0;30;0;Ingen vedartad vegetation.
0;2016;Dala-Järna;20160818;rotryckning/slåtter;2;0;;;;0;0;0;0;60;0;Ingen vedartad vegetation. 
0;2016;Dala-Järna;20160818;rotryckning/slåtter;3;0;;;;0;0;0;0;40;0;Ingen vedartad vegetation.
0;2016;Dala-Järna;20160818;rotryckning/slåtter;4;1;Vårtbjörk;S/L;A;0;5;0;0;60;1;1 stubbe á 3 skott.
0;2016;Dala-Järna;20160818;rotryckning/slåtter;5;0;;;;0;0;0;0;60;0;Ingen vedartad vegetation. 
0;2016;Dala-Järna;20160818;rotryckning/slåtter;6;15;Vårtbjörk;S/L;A;29;46;0;0;50;15;1 stubbe á 8 skott. Mkt rikligt med kortklippta skott. 
0;2016;Grängesberg;20160817;rotryckning;1;1;Salix sp.;S;;0;1;0;0;;1;Tjockt mosstäcke.
0;2016;Grängesberg;20160817;rotryckning;2;0;;;;0;0;0;0;;0;Ingen vedartad vegetation i denna ruta. Förekommer 1,5 m bort. 
0;2016;Grängesberg;20160817;rotryckning;3;0;;;;0;0;0;0;;0;Ingen vedartad vegetation.
0;2016;Grängesberg;20160817;rotryckning;4;1;Salix sp.;S;;0;2;0;0;;2;
0;2016;Grängesberg;20160817;rotryckning;4;1;Vårtbjörk;S;;0;1;0;0;;2;
0;2016;Grängesberg;20160817;rotryckning;5;3;Asp;S;;0;5;0;0;;6;
0;2016;Grängesberg;20160817;rotryckning;5;1;Glasbjörk;S;;0;3;0;0;;6;
0;2016;Grängesberg;20160817;rotryckning;5;1;Salix sp.;S;;0;1;0;0;;6;
0;2016;Grängesberg;20160817;rotryckning;5;1;Tall;S;;0;1;0;0;;6;
0;2016;Grängesberg;20160817;rotryckning;6;2;Vårtbjörk;L;;0;8;0;0;;3;3 stubbar á 3, 2, 3 skott.
0;2016;Grängesberg;20160817;rotryckning;6;1;Glasbjörk;S/L;;0;6;0;0;;3;1 stubbe á 3 skott
0;2016;Kopparberg;20160817;rotryckning;1;1;Glasbjörk;S;;0;5;0;0;;1;
0;2016;Kopparberg;20160817;rotryckning;2;1;Glasbjörk;S;;0;5;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;2;1;Salix sp.;S;;0;2;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;2;1;vedartad groddplanta;S;;0;1;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;2;1;Tall;S;;0;1;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;2;1;Vårtbjörk;S;;0;3;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;3;1;Vårtbjörk;S/L;;0;4;0;0;;3;1 stubbe á 3 skott. 
0;2016;Kopparberg;20160817;rotryckning;3;1;Glasbjörk;S;;1;9;0;0;;3;
0;2016;Kopparberg;20160817;rotryckning;3;1;Tall;S;;1;0;0;0;;3;
0;2016;Kopparberg;20160817;rotryckning;4;3;Glasbjörk;S;;0;28;0;0;;8;Mkt små skott av båda björkarna
0;2016;Kopparberg;20160817;rotryckning;4;1;betula sp.;S;;0;1;0;0;;8;vedartad men mkt liten med ett litet blad
0;2016;Kopparberg;20160817;rotryckning;4;1;Salix sp.;S;;0;1;0;0;;8;
0;2016;Kopparberg;20160817;rotryckning;4;1;Tall;S;;1;1;0;0;;8;
0;2016;Kopparberg;20160817;rotryckning;4;2;Vårtbjörk;S;;0;13;0;0;;8;Mkt små skott
0;2016;Kopparberg;20160817;rotryckning;5;1;Vårtbjörk;S/L;;0;7;0;0;;5;1 stubbe á 3 skott. 
0;2016;Kopparberg;20160817;rotryckning;5;4;Glasbjörk;S;;0;21;0;0;;5;
0;2016;Kopparberg;20160817;rotryckning;6;1;Salix sp.;S;;0;1;0;0;;1;
0;2016;Kopparberg;20160817;ytskrapning;1;0;;;;0;0;0;0;;0;Ingen vedartad vegetation. 
0;2016;Kopparberg;20160817;ytskrapning;2;0;;;;0;0;0;0;;0;Ingen vedartad vegetation.
0;2016;Kopparberg;20160817;ytskrapning;3;1;Björk sp.;S;;1;0;0;0;;1;Yttersta 15 cm av ytan slagen vid vägslåtter. 
0;2016;Kopparberg;20160817;ytskrapning;4;1;Björk sp.;S/L;;2;6;0;0;;3;1 stubbe á 6 skott Kat 2. Mycket liten grodd och död stubbe.
0;2016;Kopparberg;20160817;ytskrapning;4;1;Glasbjörk;S;;0;1;0;0;;3;
0;2016;Kopparberg;20160817;ytskrapning;4;1;Salix sp.;S;;0;1;0;0;;3;
0;2016;Kopparberg;20160817;ytskrapning;5;1;Salix sp.;S;;0;1;0;0;;1;
0;2016;Kopparberg;20160817;ytskrapning;6;1;Glasbjörk;S;;1;0;0;0;;3;
0;2016;Kopparberg;20160817;ytskrapning;6;1;Salix sp.;S;;0;1;0;0;;3;
0;2016;Kopparberg;20160817;ytskrapning;6;1;vedartad groddplanta;S;;0;1;0;0;;3;
