Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Taxa_S;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick;Margalef;Equitability_J;Fisher_alpha;Berger-Parker;Chao-1;iChao-1;ACE;Squares
Year 1;Tallåsen;9;Control;5;1,5;2;0;0;0,25;9;68;0,2037;0,7963;1,886;0,7323;1,636;1,091;1,896;0,8582;2,78;0,3676;9;9;9;9
Year 1;Tallåsen;9;Milled;0;0;15;10;0;0,15;5;24;0,2754;0,7246;1,44;0,8439;1,13;1,021;1,259;0,8946;1,922;0,4583;5;5,438;5,514;5,308
Year 2;Mo Grindar;1;Control;1;0,5;0;2;0;0,23;4;38;0,4708;0,5292;0,9892;0,6722;0,8329;0,6489;0,8247;0,7135;1,128;0,6579;4;4;4,566;4,486
Year 2;Mo Grindar;1;Milled;1;0;22;1;2;0,24;4;49;0,3478;0,6522;1,142;0,7831;1,01;0,5714;0,7708;0,8236;1,03;0,4694;4;4;5,086;4,362
Year 2;Mo Grindar;3;Control;0;1;0;4;P;0,21;1;25;1;0;0;1;0;0,2;0;;0,2085;1;1;1;1;1
Year 2;Mo Grindar;3;Milled;0;0;13;7;1;0,18;8;34;0,1622;0,8378;1,951;0,8792;1,562;1,372;1,985;0,9381;3,298;0,2941;8,243;8,243;8,59;8,188
Year 2;Mo Grindar;4;Control;10;2,5;0;3;0;0,22;1;25;1;0;0;1;0;0,2;0;;0,2085;1;1;1;1;1
Year 2;Mo Grindar;4;Milled;5;0;9;9;4;0,16;3;28;0,3519;0,6481;1,067;0,9692;0,9088;0,5669;0,6002;0,9715;0,8516;0,4643;3;3;3;3
Year 2;Mo Grindar;5;Control;15;1;0;0;0;0,25;1;24;1;0;0;1;0;0,2041;0;;0,2108;1;1;1;1;1
Year 2;Mo Grindar;5;Milled;0;0;13;3;6;0,22;5;31;0,6516;0,3484;0,7963;0,4435;0,5902;0,898;1,165;0,4948;1,687;0,8065;7,903;8,581;12,6;11,06
Year 2;Mo Grindar;6;Control;10;1,5;3;6;0;0,19;2;43;0,5017;0,4983;0,6915;0,9983;0,631;0,305;0,2659;0,9976;0,4343;0,5814;2;2;2;2
Year 2;Mo Grindar;6;Milled;0;0;25;2;0;0,23;5;13;0,2436;0,7564;1,532;0,9252;1,038;1,387;1,559;0,9517;2,975;0,4615;5,462;7,151;6,948;6,283
Year 2;Mo Grindar;7;Control;15;1,5;0;1;0;0,24;4;29;0,6379;0,3621;0,741;0,5245;0,568;0,7428;0,8909;0,5345;1,258;0,7931;4,966;4,966;7,9;6,627
Year 2;Mo Grindar;7;Milled;2,5;0;19;2;0;0,23;2;24;0,6558;0,3442;0,5326;0,8517;0,4441;0,4082;0,3147;0,7683;0,5187;0,7917;2;2;2;2
