Year;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Kommentar (kornstorlek mm);;;
2017;Jularbo;20170705;Ytskrapning;5;10;Tall;;1;;;;;;;;
2017;Jularbo;20170705;Ytskrapning;6;5;Vårtbjörk;;1;4;;;;;;;
2017;Byvalla;20170707;Ytskrapning;1;0;-;;;;;;;;;;
2017;Byvalla;20170707;Ytskrapning;2;3;Tall;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;3;5;Tall;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;3;5;Asp;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;4;10;Glasbjörk;;5;18;;;;;;;
2017;Byvalla;20170707;Ytskrapning;4;10;Tall;;;2;;;;;;;
2017;Byvalla;20170707;Ytskrapning;4;10;Gran;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;10;Gråal;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;10;Vårtbjörk;;9;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;10;Glasbjörk;;2;;;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;10;Tall;;1;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;6;5;Tall;;2;2;;;;;;;
2017;Byvalla;20170707;Ytskrapning;6;5;Asp;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;1;2;Vårtbjörk;;2;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;1;2;Tall;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;2;4;Glasbjörk;;2;8;;;;;;;
2017;Byvalla;20170707;Ytskrapning;2;4;Asp;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;3;1;Glasbjörk;;1;;;;;;;;
2017;Byvalla;20170707;Ytskrapning;4;4;Sälg;;;1;;;;;;;
2017;Byvalla;20170707;Ytskrapning;4;4;Hallon;;;3;;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;5;Tall;;;;1;;;;;;
2017;Byvalla;20170707;Ytskrapning;5;5;Glasbjörk;;2;9;;;;;;;
2017;Byvalla;20170707;Ytskrapning;6;1;Tall;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;1;20;Tall;;;2;4;;;;;;
2017;Gustafs;20170710;Ytskrapning;1;20;Vårtbjörk;;;1;4;;;;;;
2017;Gustafs;20170710;Ytskrapning;2;7;Tall;;;3;;;;;;;
2017;Gustafs;20170710;Ytskrapning;2;7;Vårtbjörk;;;1;1;;;;;;
2017;Gustafs;20170710;Ytskrapning;3;5;Tall;;1;;;;;;;;
2017;Gustafs;20170710;Ytskrapning;3;5;Vårtbjörk;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;4;2;Vårtbjörk;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;5;2;Vårtbjörk;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;5;2;Tall;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;6;8;Tall;;1;3;;;;;;;
2017;Gustafs;20170710;Ytskrapning;6;8;Vårtbjörk;;;2;;;;;;;
2017;Gustafs;20170710;Ytskrapning;1;10;Vårtbjörk;;3;;2;;;;;;
2017;Gustafs;20170710;Ytskrapning;1;10;Tall;;;;1;;;;;;
2017;Gustafs;20170710;Ytskrapning;2;80;Vårtbjörk;;3;16;4;;;;;;
2017;Gustafs;20170710;Ytskrapning;2;80;Tall;;;1;;;;;;;
2017;Gustafs;20170710;Ytskrapning;3;15;Vårtbjörk;;;2;1;;;;;;
2017;Gustafs;20170710;Ytskrapning;3;15;Tall;;4;;;;;;;;
2017;Gustafs;20170710;Ytskrapning;4;20;Vårtbjörk;;;10;;;;;;;
2017;Gustafs;20170710;Ytskrapning;4;20;Tall;;1;;;;;;;;
2017;Gustafs;20170710;Ytskrapning;5;100;Vårtbjörk;;;4;26;;;;;;
2017;Gustafs;20170710;Ytskrapning;5;100;Tall;;;2;;;;;;;
2017;Gustafs;20170710;Ytskrapning;6;15;Vårtbjörk;;;7;;;;;;;
2017;Avesta;20170704;Rotryckning;1;15;Vårtbjörk;;;8;;;;;;;
2017;Avesta;20170704;Rotryckning;2;5;Vårtbjörk;;;7;;;;;;;
2017;Avesta;20170704;Rotryckning;3;10;Vårtbjörk;;;8;;;;;;;
2017;Avesta;20170704;Rotryckning;4;20;Vårtbjörk;;;2;1;1;;;;;
2017;Avesta;20170704;Rotryckning;5;15;Vårtbjörk;;;4;2;1;;;;;
2017;Avesta;20170704;Rotryckning;6;10;Vårtbjörk;;;3;;;;;;;
2017;Jularbo;20170704;Rotryckning;1;20;Asp;;;;2;;;;;;
2017;Jularbo;20170704;Rotryckning;1;20;Vårtbjörk;;;;2;;;;;;
2017;Jularbo;20170704;Rotryckning;2;5;Glasbjörk;;;2;;;;;;;
2017;Jularbo;20170704;Rotryckning;3;30;Glasbjörk;;;10;;;;;;;
2017;Jularbo;20170704;Rotryckning;3;30;Vårtbjörk;;;2;;;;;;;
2017;Jularbo;20170704;Rotryckning;4;2;Asp;;;4;;;;;;;
2017;Jularbo;20170704;Rotryckning;4;2;Vårtbjörk;;;4;;;;;;;
2017;Jularbo;20170704;Rotryckning;5;25;Vårtbjörk;;;4;1;;;;;;
2017;Jularbo;20170704;Rotryckning;5;25;Glasbjörk;;;2;;;;;;;
