Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);;;;;
Gustavs;20220804;rotryckning;1;5;Fin sand. Medelhård. Grus och sten. Flera bohål.  ;;;;;
Gustavs;20220804;rotryckning;2;0;Silt med bohål;;;;;
Gustavs;20220804;rotryckning;3;80;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220804;rotryckning;4;10;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220805;rotryckning;5;5;Fin till mellan sand. Medelhård. Grus och sten. ;;;;;
Gustavs;20220805;rotryckning;6;70;Fin till mellan lös med hårda partier. Grus och sten. Flera bohål.;;;;;
Gustavs;20220804;rotryckning/slåtter;1;40;Grov till fin sand, medelhårt med lösa partier (där bon byggts.;;;;;
Gustavs;20220804;rotryckning/slåtter;2;10;Grov till fin sand, medelhårt med lösa partier (där bon byggts.;;;;;
Gustavs;20220804;rotryckning/slåtter;3;10;Grov till fin sand, medelhårt med lösa partier.;;;;;
Gustavs;20220804;rotryckning/slåtter;4;80;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220805;rotryckning/slåtter;5;1;Fin till mellan sand. Medelhård. Grus och sten. ;;;;;
Gustavs;20220805;rotryckning/slåtter;6;1;Fin till mellan sand. Medelhård. Grus och sten. ;;;;;
Gustavs;20220804;ytskrapning;1;60;Grov till fin, blandat. Även grus och sten. Löst med hårda partier. Och partier med medelhård sand.;;;;;
Gustavs;20220804;ytskrapning;2;60;Grov till fin, blandat. Även grus och sten. Löst med hårda partier. Och partier med medelhård sand.;;;;;
Gustavs;20220804;ytskrapning;3;90;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220804;ytskrapning;4;30;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220805;ytskrapning;5;70;Grov till fin, lös med hårda partier. Grus och sten. Flera bohål;;;;;
